ds,UMAP1,UMAP2,UMAP3,UMAP4,y,unique_id,is_weekend,is_holiday
05/14/2025,0.97663677,7.5180626,4.365857,5.007403,84.52,movie,0,0
05/15/2025,-0.13047591,7.830536,4.7834225,6.2169113,122.09,movie,0,0
05/16/2025,-1.2135596,7.93176,5.555956,7.0651526,174.81,movie,0,0
05/17/2025,-1.031792,7.828295,5.3250504,7.09519,545.78,movie,1,0
05/18/2025,-0.0728082,7.763215,4.838926,6.242148,346.35,movie,1,0
05/19/2025,-0.11969067,8.075361,4.924098,5.3526096,51.37,movie,0,0
05/20/2025,-0.46202844,8.236355,5.239456,5.21502,103.59,movie,0,0
05/21/2025,-0.6171326,8.292127,5.393499,5.418641,73.97,movie,0,0
05/22/2025,-0.45553043,7.9538617,5.0082827,6.2403536,68.38,movie,0,0
05/23/2025,-0.86237824,7.812355,5.150144,6.997723,76.89,movie,0,0
05/24/2025,-1.2509799,7.830779,5.3136044,7.4093995,308.22,movie,1,0
05/25/2025,0.12935084,7.836063,4.5628543,6.0089626,256.89,movie,1,0
05/26/2025,0.33979693,7.8009005,4.5272927,5.6209335,42.34,movie,0,0
05/27/2025,0.3926023,7.819024,4.556547,5.3949947,45.56,movie,0,0
05/28/2025,0.6404451,7.7135735,4.4911366,5.153686,46.9,movie,0,0
05/29/2025,-0.3487141,8.047225,4.956905,5.9709835,50.53,movie,0,0
05/30/2025,-0.05431612,7.9904685,4.7849355,5.6012077,107.42,movie,0,0
05/31/2025,-1.5651026,7.964471,5.607052,7.462365,393.15,movie,1,1
06/01/2025,-1.9600534,7.6067657,5.727977,8.154575,727.14,movie,1,1
06/02/2025,-1.5645174,7.75995,5.4488745,7.7251844,333.3,movie,0,1
06/03/2025,-0.32587206,8.023453,4.8821297,6.2089777,30.47,movie,0,0
06/04/2025,0.07086028,7.9871964,4.748795,5.390862,28.13,movie,0,0
06/05/2025,0.42072862,7.8501053,4.652107,5.0584326,31.34,movie,0,0
06/06/2025,0.15813667,7.9930143,4.818257,5.0804296,44.02,movie,0,0
06/07/2025,-0.64352125,8.200326,5.527757,5.490968,162.99,movie,1,0
06/08/2025,-1.585474,8.150166,5.8899975,7.2099137,161.57,movie,1,0
06/09/2025,-1.812812,7.876979,5.892041,7.339002,34.9,movie,0,0
06/10/2025,-1.3629743,7.958384,5.7038407,7.0644174,36.95,movie,0,0
06/11/2025,-0.69602054,8.359259,5.3124924,5.515226,36.61,movie,0,0
06/12/2025,-0.78650403,8.307004,5.4625998,5.321784,35.36,movie,0,0
06/13/2025,-0.85175824,8.243263,5.551464,5.5161076,39.56,movie,0,0
06/14/2025,-2.2010303,7.791088,5.932174,8.015298,108.44,movie,1,0
06/15/2025,-1.6947201,8.048161,5.7452555,7.451316,122.44,movie,1,0
06/16/2025,-0.49816453,8.207308,5.257253,5.3264203,30.44,movie,0,0
06/17/2025,-0.53298646,8.313259,5.327885,5.2549596,37.55,movie,0,0
06/18/2025,-1.0135101,8.258785,5.6507554,5.7729163,24.79,movie,0,0
06/19/2025,-2.2908046,7.630404,6.0702515,8.165391,25.63,movie,0,0
06/20/2025,-2.1692429,7.9517336,5.979951,7.732628,32.67,movie,0,0
06/21/2025,-1.8852326,7.995287,5.8963103,7.527925,85.54,movie,1,0
06/22/2025,-1.955019,8.189979,5.724403,7.5704784,92.26,movie,1,0
06/23/2025,-1.8687006,8.0673895,5.9907146,7.3335285,24.4,movie,0,0
06/24/2025,-1.7005746,8.053202,5.9931855,7.1318655,25.64,movie,0,0
06/25/2025,-2.0318482,8.021338,6.090894,7.371287,27.98,movie,0,0
06/26/2025,-2.2461486,7.9214063,5.986556,7.871865,30.82,movie,0,0
06/27/2025,-2.3606777,7.682567,5.9891443,8.18785,22.37,movie,0,0
06/28/2025,-2.240284,7.6737027,5.966118,8.1042795,54.44,movie,1,0
06/29/2025,-2.184724,7.6420655,5.9427733,8.198499,81.27,movie,1,0
06/30/2025,-2.373204,7.783918,5.922289,8.189878,66.32,movie,0,0
